#  Na10K90Cl Na20K80Cl Na90K10Cl
#  T/K	Cp,m/(J ⋅ mol−1 ⋅ K−1)	T/K	Cp,m/(J ⋅ mol−1 ⋅ K−1)	T/K	Cp,m/(J ⋅ mol−1 ⋅ K−1)
5.095	0.0387	5.086	0.0361	5.041	0.0176
5.458	0.0485	5.454	0.0452	5.409	0.0219
5.879	0.0601	5.856	0.0564	5.793	0.027
6.294	0.0738	6.274	0.07	6.208	0.0335
6.752	0.0936	6.728	0.0878	6.664	0.0417
7.188	0.1141	7.176	0.1084	7.14	0.0518
7.702	0.1425	7.691	0.1356	7.653	0.0641
8.252	0.1787	8.238	0.1702	8.202	0.0801
8.84	0.2244	8.829	0.215	8.791	0.1001
9.475	0.2828	9.461	0.2712	9.422	0.1252
10.15	0.357	10.14	0.3435	10.1	0.157
10.89	0.4512	10.87	0.4354	10.83	0.198
11.67	0.5685	11.65	0.5511	11.61	0.2499
12.5	0.7153	12.48	0.6946	12.45	0.3169
13.4	0.8969	13.38	0.8732	13.34	0.4021
14.36	1.1196	14.34	1.0918	14.23	0.51
15.39	1.3953	15.37	1.3623	15.33	0.6479
16.49	1.7261	16.47	1.6913	16.43	0.8219
17.67	2.1251	17.65	2.0874	17.61	1.0395
18.94	2.5991	18.91	2.55	18.87	1.31
20.29	3.1559	20.26	3.1048	20.24	1.6491
21.74	3.8101	21.71	3.7558	21.7	2.0608
23.29	4.5784	23.26	4.5137	23.25	2.5635
24.96	5.4629	24.93	5.3961	24.92	3.165
26.74	6.5085	26.72	6.4288	26.71	3.8591
28.66	7.6739	28.63	7.596	28.64	4.7159
30.71	8.8238	30.69	8.7684	30.7	5.6711
32.91	10.287	32.89	10.163	32.9	6.785
35.28	11.821	35.25	11.673	35.27	8.0388
37.81	13.477	37.78	13.296	37.81	9.4367
40.52	15.247	40.5	15.059	40.53	10.981
43.43	17.109	43.41	16.885	43.45	12.635
46.57	19.041	46.53	18.806	46.58	14.398
49.91	21.012	49.87	20.732	49.93	16.28
53.5	23.001	53.47	22.726	53.53	18.229
57.34	25.022	57.32	24.731	57.38	20.247
61.47	26.984	61.44	26.705	61.51	22.264
65.89	28.949	65.86	28.669	65.94	24.311
70.63	30.883	70.6	30.604	70.69	26.324
75.7	32.61	75.67	32.387	75.77	28.265
81.13	34.397	81.11	34.171	81.21	30.128
86.95	36.068	86.93	35.847	87.05	32.292
93.14	37.493	93.15	37.318	93.3	34.009
99.83	39.053	99.85	38.835	100.02	35.792
107.02	40.326	107.03	40.148	107.21	37.382
114.72	41.626	114.72	41.454	114.92	38.916
122.97	42.707	122.97	42.568	123.18	40.265
131.81	43.696	131.82	43.531	132.04	41.449
141.3	44.687	141.3	44.511	141.54	42.607
151.46	45.557	151.45	45.392	151.71	43.668
162.37	46.296	162.35	46.183	162.61	44.814
174.06	47.074	174.02	46.929	174.32	45.519
186.58	47.688	186.55	47.504	186.88	46.208
199.99	48.315	199.96	48.186	200.33	47.112
214.36	48.855	214.35	48.716	214.74	47.779
229.76	49.264	229.74	49.194	230.17	48.365
246.27	49.829	246.25	49.804	246.73	49.073
263.93	50.305	263.91	50.181	264.44	49.551
282.87	50.877	282.86	50.682	283.42	50.221
303.18	51.268	303.12	51.207	303.77	50.613
# Measured molar PPMS heat capacities (Cp,m) of the NaCl–KCl samples. The uncertainties in T and Cp,m are given as follows: σT = ±T/K ⋅ (0.0004 − 3.6 ⋅ 10−6 ⋅ T/K + 1.2 ⋅ 10−8 ⋅ (T/K)2); σCp,m = ±Cp,m/(J ⋅ mol−1 ⋅ K−1) ⋅ (0.004 − 2.7 ⋅ 10−5 ⋅ T/K + 9.7 ⋅ 10−8 ⋅ (T/K)2).
