# T/T_D, C_v_xs/NkB, S_xs/NkB
1.000000000000000021e-02 3.888978785355183413e-05 1.296326261785060686e-05
1.990000000000000102e-02 3.064748232689119660e-04 1.021582744229709806e-04
2.980000000000000010e-02 1.029163474968184180e-03 3.430544927890254864e-04
3.969999999999999918e-02 2.433356779916739931e-03 8.111210530228054813e-04
4.959999999999999826e-02 4.744845071008890747e-03 1.581794284461712080e-03
5.949999999999999734e-02 8.179897789192494550e-03 2.729873242148177226e-03
6.939999999999998948e-02 1.290430526070247830e-02 4.325925887254642582e-03
7.929999999999999549e-02 1.895742671637232202e-02 6.427005506089364384e-03
8.919999999999998763e-02 2.619490446235420156e-02 9.064266874396646745e-03
9.909999999999997977e-02 3.429903213287244235e-02 1.223438038715217446e-02
1.089999999999999858e-01 4.284780913093599874e-02 1.589906877299664123e-02
1.188999999999999918e-01 5.140090977893213564e-02 1.999191280669510018e-02
1.287999999999999978e-01 5.956842856323629753e-02 2.442880359711260829e-02
1.386999999999999900e-01 6.704951221166488562e-02 2.911853860165106167e-02
1.486000000000000099e-01 7.364356592555210135e-02 3.397144947073393872e-02
1.585000000000000020e-01 7.924296668818442413e-02 3.890532366341759030e-02
1.683999999999999941e-01 8.381632153715024014e-02 4.384876235936641109e-02
1.782999999999999863e-01 8.738892190117175662e-02 4.874251541582452774e-02
1.881999999999999784e-01 9.002435930876961923e-02 5.353941593765887408e-02
1.980999999999999983e-01 9.180917113333730839e-02 5.820346036046974980e-02
2.079999999999999905e-01 9.284103615664274223e-02 6.270844906871897440e-02
2.178999999999999826e-01 9.322030323045416011e-02 6.703647250668687274e-02
2.278000000000000025e-01 9.304431320454775722e-02 7.117642103597077163e-02
2.376999999999999946e-01 9.240389434517726208e-02 7.512261834201139354e-02
2.475999999999999868e-01 9.138145567316291462e-02 7.887362495453964506e-02
2.574999999999999512e-01 9.005019770024103032e-02 8.243122483106879450e-02
2.673999999999999710e-01 8.847406551081338222e-02 8.579958836740453343e-02
2.772999999999999909e-01 8.670816550926785382e-02 8.898459502697098067e-02
2.872000000000000108e-01 8.479944700279506975e-02 9.199329457200366988e-02
2.970999999999999752e-01 8.278751202560696854e-02 9.483348522237577960e-02
3.069999999999999951e-01 8.070546325120098174e-02 9.751338836055700732e-02
3.168999999999999595e-01 7.858073331527659633e-02 1.000414016277686446e-01
3.267999999999999794e-01 7.643586228327081677e-02 1.024259148043760170e-01
3.366999999999999993e-01 7.428920588918597190e-02 1.046751753882089186e-01
3.465999999999999637e-01 7.215556761917696349e-02 1.067971930986815199e-01
3.564999999999999836e-01 7.004675431096618610e-02 1.087996745639348006e-01
3.663999999999999480e-01 6.797205888333612833e-02 1.106899811751724805e-01
3.762999999999999678e-01 6.593867596424196620e-02 1.124751045304861474e-01
3.861999999999999877e-01 6.395205716736285240e-02 1.141616550693860255e-01
3.960999999999999521e-01 6.201621300462445419e-02 1.157558604541113478e-01
4.059999999999999720e-01 6.013396820913419205e-02 1.172635710197513781e-01
4.158999999999999919e-01 5.830717677646557462e-02 1.186902702250953734e-01
4.257999999999999563e-01 5.653690244052134162e-02 1.200410885183949006e-01
4.356999999999999762e-01 5.482356966581392044e-02 1.213208194117112448e-01
4.455999999999999961e-01 5.316708961089178231e-02 1.225339368544275942e-01
4.554999999999999605e-01 5.156696492660861608e-02 1.236846132277520383e-01
4.653999999999999804e-01 5.002237671363829463e-02 1.247767374614978664e-01
4.752999999999999448e-01 4.853225648086434418e-02 1.258139329125591566e-01
4.851999999999999647e-01 4.709534552236904759e-02 1.267995747509091942e-01
4.950999999999999845e-01 4.571024376125665256e-02 1.277368066797572865e-01
5.049999999999998934e-01 4.437544979040941584e-02 1.286285568779703681e-01
5.148999999999999133e-01 4.308939356794949660e-02 1.294775530989658030e-01
5.247999999999999332e-01 4.185046299265149372e-02 1.302863368944788824e-01
5.346999999999999531e-01 4.065702538825455292e-02 1.310572769569082752e-01
5.445999999999999730e-01 3.950744475845802128e-02 1.317925815918670196e-01
5.544999999999999929e-01 3.840009553482071070e-02 1.324943103455709092e-01
5.644000000000000128e-01 3.733337342090248256e-02 1.331643848201067293e-01
5.742999999999999217e-01 3.630570383739462059e-02 1.338045987154177219e-01
5.841999999999999416e-01 3.531554838929018558e-02 1.344166271399616086e-01
5.940999999999999615e-01 3.436140970657763916e-02 1.350020352335894458e-01
6.039999999999999813e-01 3.344183495148511653e-02 1.355622861464720330e-01
6.139000000000000012e-01 3.255541823620911046e-02 1.360987484172264672e-01
6.237999999999999101e-01 3.170080215438453308e-02 1.366127027921919534e-01
6.336999999999999300e-01 3.087667859512066570e-02 1.371053485260391724e-01
6.435999999999999499e-01 3.008178897991964362e-02 1.375778092019745991e-01
6.534999999999999698e-01 2.931492403888036336e-02 1.380311381076553268e-01
6.633999999999999897e-01 2.857492322253341044e-02 1.384663232006828615e-01
6.732999999999998986e-01 2.786067382910717427e-02 1.388842916954118323e-01
6.831999999999999185e-01 2.717110991296856071e-02 1.392859143005447109e-01
6.930999999999999384e-01 2.650521102848024668e-02 1.396720091349545889e-01
